STORE_KEY,STORE_NUMBER,ROW_EFFECTIVE_TIMESTAMP,ROW_EXPIRATION_TIMESTAMP,STORE_NAME,STORE_TYPE_CODE,STORE_TYPE_NAME,OPEN_DATE,CLOSE_DATE,CITY_NAME,STATE_CODE,STATE_NAME,COUNTRY_CODE,COUNTRY_NAME,TIME_ZONE_NAME,DMA_ID,DMA_NAME,ROYALTY_RATE,STORE_STATUS,REGION_ID,REGION_NAME,PRIOR_STORE_NUMBER,STORE_LIVE_DATE,STORE_FUNCTIONAL_STATUS,GLOBAL_REGION_NAME,GLOBAL_REGION_STORE_TYPE_NAME,AREA_REGION,DISPATCH_GO_LIVE_DATE,DOOR_DASH_GO_LIVE_DATE,DOOR_DASH_MARKUP_GO_LIVE_DATE,STORE_CONCEPT_NAME,UBER_EATS_MARKUP_DATE,EDW_CREATE_TIMESTAMP,EDW_MODIFY_TIMESTAMP
1319795,2821,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z,NY2821,Fran,Franchise,12/31/1999,12/31/1999,Schenectady,NY,New York,USA,,Eastern,555,SYRACUSE,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,ALBANY-SCHENECTADY-TROY,,,12/31/1999,,12/31/1999,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z
1319796,2822,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z,FL2822,Fran,Franchise,12/31/1999,12/31/1999,Palm Bay,FL,Florida,USA,,Unknown,561,JACKSONVILLE,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,JACKSONVILLE,,,12/31/1999,,12/31/1999,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z
1318778,2819,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z,NY2819,Fran,Franchise,12/31/1999,12/31/1999,Staten Island,NY,New York,USA,,Unknown,501,NEW YORK,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,NEW YORK,,,12/31/1999,,12/31/1999,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z
1318779,2820,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z,OH2820,Fran,Franchise,12/31/1999,12/31/1999,Huber Heights,OH,Ohio,USA,,Unknown,542,DAYTON,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,DAYTON,,,12/31/1999,,12/31/1999,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z
1318780,2816,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z,AL2816,Fran,Franchise,12/31/1999,12/31/1999,Pell City,AL,Alabama,USA,,Unknown,630,BIRMINGHAM (ANN AND TUSC),,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,BIRMINGHAM (ANN AND TUSC),,,12/31/1999,,12/31/1999,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z
1319797,2817,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z,OR2817,Fran,Franchise,12/31/1999,12/31/1999,Salem,OR,Oregon,USA,,Unknown,820,"PORTLAND, OR",,Future,4,West,,,Signed Lease,Domestic,DomesticFranchise,"PORTLAND, OR",,,12/31/1999,,12/31/1999,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z
1319798,2818,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z,OR2818,Fran,Franchise,12/31/1999,12/31/1999,Portland,OR,Oregon,USA,,Unknown,820,"PORTLAND, OR",,Future,4,West,,,Signed Lease,Domestic,DomesticFranchise,"PORTLAND, OR",,,12/31/1999,,12/31/1999,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z
1319799,7050,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z,MN7050,Fran,Franchise,12/31/1999,12/31/1999,Minneapolis,MN,Minnesota,USA,,Unknown,613,MINNEAPOLIS-ST. PAUL,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,MINNEAPOLIS-ST. PAUL,,,12/31/1999,,12/31/1999,2024-05-21T02:07:19.714Z,2024-05-21T02:07:19.714Z
1307239,2805,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z,AL2805,Fran,Franchise,12/31/1999,12/31/1999,Montgomery,AL,Alabama,USA,,Unknown,698,MONTGOMERY-SELMA,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,MONTGOMERY-SELMA,,,12/31/1999,,12/31/1999,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z
1308272,2807,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z,NY2807,Fran,Franchise,12/31/1999,12/31/1999,Bronx,NY,New York,USA,,Unknown,501,NEW YORK,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,NEW YORK,,,12/31/1999,,12/31/1999,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z
