STORE_NUMBER,OPEN_DATE,MONTH_ORDER,START_DATE,END_DATE,TRANSACTION_FINAL_COUNT,NET_SALES_FINAL_USD_AMOUNT
2,09-05-1998,18,27-04-2019,25-07-2019,11563,198088.13999999996
2,09-05-1998,17,26-07-2019,23-10-2019,11590,197925.22000000003
2,09-05-1998,16,24-10-2019,21-01-2020,10738,188888.28000000003
2,09-05-1998,15,22-01-2020,20-04-2020,10359,196341.5499999999
2,09-05-1998,14,21-04-2020,19-07-2020,10208,207548.0000000001
2,09-05-1998,13,20-07-2020,17-10-2020,10434,203468.90000000002
2,09-05-1998,12,18-10-2020,15-01-2021,10685,211956.35
2,09-05-1998,11,16-01-2021,15-04-2021,10947,220840.41999999998
2,09-05-1998,10,16-04-2021,14-07-2021,10980,221575.71999999994
2,09-05-1998,9,15-07-2021,12-10-2021,11966,245147.36
2,09-05-1998,8,13-10-2021,10-01-2022,11109,235896.32000000004
2,09-05-1998,7,11-01-2022,10-04-2022,10566,224408.26000000004
2,09-05-1998,6,11-04-2022,09-07-2022,11455,236509.34000000008
2,09-05-1998,5,10-07-2022,07-10-2022,12447,251093.27000000008
2,09-05-1998,4,08-10-2022,05-01-2023,11871,240950.54999999993
2,09-05-1998,3,06-01-2023,05-04-2023,12155,255526.04000000004
2,09-05-1998,2,06-04-2023,04-07-2023,11489,237128.06
2,09-05-1998,1,05-07-2023,02-10-2023,11646,243738.19000000006
2,09-05-1998,0,03-10-2023,31-12-2023,12091,250577.51
5,22-08-1998,18,27-04-2019,25-07-2019,19065,352845.35999999987
5,22-08-1998,17,26-07-2019,23-10-2019,18894,344505.93999999994
5,22-08-1998,16,24-10-2019,21-01-2020,18559,343453.0699999998
5,22-08-1998,15,22-01-2020,20-04-2020,21596,431815.70000000007
5,22-08-1998,14,21-04-2020,19-07-2020,21250,446341.25
5,22-08-1998,13,20-07-2020,17-10-2020,20542,420466.13
5,22-08-1998,12,18-10-2020,15-01-2021,20106,422163.78
5,22-08-1998,11,16-01-2021,15-04-2021,22355,491023.72999999975
5,22-08-1998,10,16-04-2021,14-07-2021,21736,471347.03
5,22-08-1998,9,15-07-2021,12-10-2021,21390,467779.43000000017
5,22-08-1998,8,13-10-2021,10-01-2022,23012,527588.0399999999
5,22-08-1998,7,11-01-2022,10-04-2022,21427,504592.4800000003
5,22-08-1998,6,11-04-2022,09-07-2022,19275,448138.95000000007
5,22-08-1998,5,10-07-2022,07-10-2022,20472,460825.6999999999
5,22-08-1998,4,08-10-2022,05-01-2023,22533,505953.41000000015
5,22-08-1998,3,06-01-2023,05-04-2023,24324,551665.52
5,22-08-1998,2,06-04-2023,04-07-2023,23178,526846.5399999998
5,22-08-1998,1,05-07-2023,02-10-2023,23332,526206.08
5,22-08-1998,0,03-10-2023,31-12-2023,23635,536947.3000000002
7,14-11-1998,0,24-05-2019,21-08-2019,16053,314157.42000000004
16,29-04-2000,18,27-04-2019,25-07-2019,14021,248195.2199999999
16,29-04-2000,17,26-07-2019,23-10-2019,14634,258610.52999999994
16,29-04-2000,16,24-10-2019,21-01-2020,14716,265974.6
16,29-04-2000,15,22-01-2020,20-04-2020,14634,281105.4799999999
16,29-04-2000,14,21-04-2020,19-07-2020,16063,339601.8000000001
16,29-04-2000,13,20-07-2020,17-10-2020,15040,309354.96
16,29-04-2000,12,18-10-2020,15-01-2021,13664,279836.7600000001
16,29-04-2000,11,16-01-2021,15-04-2021,14723,304389.52000000014
16,29-04-2000,10,16-04-2021,14-07-2021,16561,333002.64
16,29-04-2000,9,15-07-2021,12-10-2021,16389,323814.79000000004
16,29-04-2000,8,13-10-2021,10-01-2022,16155,322968.18000000005
16,29-04-2000,7,11-01-2022,10-04-2022,15226,324419.72999999986
16,29-04-2000,6,11-04-2022,09-07-2022,14485,298418.37000000005
16,29-04-2000,5,10-07-2022,07-10-2022,15929,320234.42999999993
16,29-04-2000,4,08-10-2022,05-01-2023,15744,323370.51
16,29-04-2000,3,06-01-2023,05-04-2023,17710,368296.8799999999
16,29-04-2000,2,06-04-2023,04-07-2023,16681,354210.31999999995
16,29-04-2000,1,05-07-2023,02-10-2023,18059,381117.7600000001
16,29-04-2000,0,03-10-2023,31-12-2023,17833,370880.8900000001
27,11-06-2001,18,27-04-2019,25-07-2019,23369,439375.1900000002
27,11-06-2001,17,26-07-2019,23-10-2019,24730,455119.71
27,11-06-2001,16,24-10-2019,21-01-2020,22920,439644.87999999995
27,11-06-2001,15,22-01-2020,20-04-2020,23592,473604.82
27,11-06-2001,14,21-04-2020,19-07-2020,24322,508451.3699999997
27,11-06-2001,13,20-07-2020,17-10-2020,24439,497624.07
27,11-06-2001,12,18-10-2020,15-01-2021,22788,464148.0
27,11-06-2001,11,16-01-2021,15-04-2021,21859,446596.58999999985
27,11-06-2001,10,16-04-2021,14-07-2021,23595,472435.8300000001
27,11-06-2001,9,15-07-2021,12-10-2021,25069,509678.4299999997
27,11-06-2001,8,13-10-2021,10-01-2022,24810,521500.1799999999
27,11-06-2001,7,11-01-2022,10-04-2022,22988,499924.81000000006
27,11-06-2001,6,11-04-2022,09-07-2022,22525,478581.7199999999
27,11-06-2001,5,10-07-2022,07-10-2022,26564,558909.0199999999
27,11-06-2001,4,08-10-2022,05-01-2023,26073,541040.9800000001
27,11-06-2001,3,06-01-2023,05-04-2023,26099,564831.1799999999
27,11-06-2001,2,06-04-2023,04-07-2023,25159,534991.7399999996
27,11-06-2001,1,05-07-2023,02-10-2023,26824,567356.4900000001
27,11-06-2001,0,03-10-2023,31-12-2023,25720,543739.79
31,18-07-2001,18,27-04-2019,25-07-2019,19831,329615.2399999998
31,18-07-2001,17,26-07-2019,23-10-2019,21338,352938.39000000013
31,18-07-2001,16,24-10-2019,21-01-2020,21241,367770.89
31,18-07-2001,15,22-01-2020,20-04-2020,24016,446803.81999999995
31,18-07-2001,14,21-04-2020,19-07-2020,25823,499882.91
31,18-07-2001,13,20-07-2020,17-10-2020,24517,468850.58
31,18-07-2001,12,18-10-2020,15-01-2021,23932,471337.9900000001
31,18-07-2001,11,16-01-2021,15-04-2021,24926,499011.29000000004
31,18-07-2001,10,16-04-2021,14-07-2021,25591,508615.9199999999
31,18-07-2001,9,15-07-2021,12-10-2021,24328,486756.1900000001
31,18-07-2001,8,13-10-2021,10-01-2022,21243,451018.5800000001
31,18-07-2001,7,11-01-2022,10-04-2022,20507,445100.26
31,18-07-2001,6,11-04-2022,09-07-2022,21001,450368.3199999999
31,18-07-2001,5,10-07-2022,07-10-2022,25824,553020.9599999998
31,18-07-2001,4,08-10-2022,05-01-2023,26017,556237.1799999997
31,18-07-2001,3,06-01-2023,05-04-2023,24785,534134.8599999999
31,18-07-2001,2,06-04-2023,04-07-2023,21784,466382.23999999993
31,18-07-2001,1,05-07-2023,02-10-2023,20464,442809.44999999995
31,18-07-2001,0,03-10-2023,31-12-2023,21218,453608.39999999997
39,28-11-2001,18,27-04-2019,25-07-2019,9910,170235.62000000002
39,28-11-2001,17,26-07-2019,23-10-2019,9704,159342.09000000005
39,28-11-2001,16,24-10-2019,21-01-2020,11959,202603.91
39,28-11-2001,15,22-01-2020,20-04-2020,14900,277652.99999999994
39,28-11-2001,14,21-04-2020,19-07-2020,17584,342458.1199999999
39,28-11-2001,13,20-07-2020,17-10-2020,17958,338285.0599999999
39,28-11-2001,12,18-10-2020,15-01-2021,19494,376955.8699999999
39,28-11-2001,11,16-01-2021,15-04-2021,20523,409646.24999999994
39,28-11-2001,10,16-04-2021,14-07-2021,20922,410135.81000000006
39,28-11-2001,9,15-07-2021,12-10-2021,18041,345495.91000000003
39,28-11-2001,8,13-10-2021,10-01-2022,18562,369512.4000000001
39,28-11-2001,7,11-01-2022,10-04-2022,19005,394390.29999999993
39,28-11-2001,6,11-04-2022,09-07-2022,20236,397775.02999999997
39,28-11-2001,5,10-07-2022,07-10-2022,21152,410737.9
39,28-11-2001,4,08-10-2022,05-01-2023,20255,384432.76999999996
39,28-11-2001,3,06-01-2023,05-04-2023,23190,467440.71000000014
39,28-11-2001,2,06-04-2023,04-07-2023,23620,477575.25000000023
39,28-11-2001,1,05-07-2023,02-10-2023,25773,523681.54999999993
39,28-11-2001,0,03-10-2023,31-12-2023,27360,556544.8499999999
51,30-03-2002,18,27-04-2019,25-07-2019,13272,288353.88999999996
51,30-03-2002,17,26-07-2019,23-10-2019,14476,316319.60999999987
51,30-03-2002,16,24-10-2019,21-01-2020,14118,313250.82999999996
51,30-03-2002,15,22-01-2020,20-04-2020,13068,306390.74
51,30-03-2002,14,21-04-2020,19-07-2020,13535,332331.9899999998
51,30-03-2002,13,20-07-2020,17-10-2020,12330,290570.05
51,30-03-2002,12,18-10-2020,15-01-2021,12036,284355.71
51,30-03-2002,11,16-01-2021,15-04-2021,11301,269980.0700000001
51,30-03-2002,10,16-04-2021,14-07-2021,12373,293439.26999999996
51,30-03-2002,9,15-07-2021,12-10-2021,12090,288183.52999999997
51,30-03-2002,8,13-10-2021,10-01-2022,11965,295357.8799999999
51,30-03-2002,7,11-01-2022,10-04-2022,10649,270596.04999999993
51,30-03-2002,6,11-04-2022,09-07-2022,10240,250947.78999999995
51,30-03-2002,5,10-07-2022,07-10-2022,11637,281994.09000000014
51,30-03-2002,4,08-10-2022,05-01-2023,12002,283061.14
51,30-03-2002,3,06-01-2023,05-04-2023,12505,308422.25000000006
51,30-03-2002,2,06-04-2023,04-07-2023,12673,300467.95
51,30-03-2002,1,05-07-2023,02-10-2023,13686,326076.54000000004
51,30-03-2002,0,03-10-2023,31-12-2023,14644,342416.7
52,06-04-2002,18,27-04-2019,25-07-2019,14757,277456.94
52,06-04-2002,17,26-07-2019,23-10-2019,15641,288583.1000000002
52,06-04-2002,16,24-10-2019,21-01-2020,15327,290217.54000000015
52,06-04-2002,15,22-01-2020,20-04-2020,17129,351555.5200000001
52,06-04-2002,14,21-04-2020,19-07-2020,18901,407846.9199999999
52,06-04-2002,13,20-07-2020,17-10-2020,17397,363182.2599999999
52,06-04-2002,12,18-10-2020,15-01-2021,17305,355643.6799999999
52,06-04-2002,11,16-01-2021,15-04-2021,19174,406052.4299999999
52,06-04-2002,10,16-04-2021,14-07-2021,18224,388766.6900000001
