STORE_NUMBER,STORE_NAME,STORE_TYPE_NAME,OPEN_DATE,CITY_NAME,STATE_NAME,TIME_ZONE_NAME,DMA_ID,DMA_NAME,STORE_STATUS,REGION_ID,REGION_NAME,STORE_LIVE_DATE,STORE_FUNCTIONAL_STATUS,AREA_REGION,DISPATCH_GO_LIVE_DATE,DOOR_DASH_GO_LIVE_DATE,DOOR_DASH_MARKUP_GO_LIVE_DATE,STORE_CONCEPT_NAME,UBER_EATS_MARKUP_DATE
2,TX2,Franchise,09-05-1998,IRVING,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,09-05-1998,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
5,TX5,Franchise,22-08-1998,DALLAS,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,22-08-1998,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
7,TX7,Franchise,14-11-1998,ARLINGTON,Texas,Central,623.0,DALLAS-FT. WORTH,Inactive,1.0,Southwest,14-11-1998,Transfer,DALLAS-FT. WORTH,,,14-11-1998,,14-11-1998
16,LA16,Franchise,29-04-2000,WEST MONROE,Louisiana,Central,628.0,MONROE-EL DORADO,Active,2.0,Southeast,29-04-2000,Operational,MONROE-EL DORADO,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
27,TX27,Franchise,11-06-2001,DALLAS,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,11-06-2001,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
31,OK31,Franchise,18-07-2001,OKLAHOMA CITY,Oklahoma,Central,650.0,OKLAHOMA CITY,Active,1.0,Southwest,18-07-2001,Operational,OKLAHOMA CITY,13-11-2019,13-11-2019,27-09-2020,Original,18-07-2001
39,IL39,Franchise,28-11-2001,DECATUR,Illinois,Central,648.0,CHAMPAIGN&SPRNGFLD-DECATUR,Active,3.0,North,28-11-2001,Operational,CHAMPAIGN&SPRNGFLD-DECATUR,28-08-2019,28-08-2019,27-09-2020,Original,20-07-2022
51,TX51,Franchise,30-03-2002,WATAUGA,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,30-03-2002,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
52,TX52,Franchise,06-04-2002,HOUSTON,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,06-04-2002,Operational,HOUSTON,28-11-2018,28-11-2018,27-09-2020,Original,20-07-2022
61,TX61,Franchise,29-06-2002,CEDAR HILL,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,29-06-2002,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
62,TX62,Franchise,18-07-2002,ODESSA,Texas,Central,633.0,ODESSA-MIDLAND,Active,1.0,Southwest,18-07-2002,Operational,ODESSA-MIDLAND,13-11-2019,13-11-2019,27-09-2020,Original,20-07-2022
64,OK64,Franchise,25-07-2002,TULSA,Oklahoma,Central,671.0,TULSA,Active,1.0,Southwest,25-07-2002,Operational,TULSA,13-11-2019,13-11-2019,27-09-2020,Original,20-07-2022
72,TX72,Corporate,30-08-2002,LAKE WORTH,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,30-08-2002,Operational,DALLAS-FT. WORTH,25-04-2019,25-04-2019,27-09-2020,Original,20-07-2022
78,CO78,Franchise,25-10-2002,COLORADO SPRINGS,Colorado,Mountain,752.0,COLORADO SPRINGS-PUEBLO,Active,4.0,West,25-10-2002,Operational,COLORADO SPRINGS-PUEBLO,12-09-2018,12-09-2018,27-09-2020,Original,20-07-2022
94,CO94,Franchise,29-01-2003,AURORA,Colorado,Mountain,751.0,DENVER,Active,4.0,West,29-01-2003,Operational,DENVER,12-09-2018,12-09-2018,27-09-2020,Original,20-07-2022
101,GA101,Franchise,12-03-2003,AUGUSTA,Georgia,Eastern,520.0,AUGUSTA-AIKEN,Active,2.0,Southeast,12-03-2003,Operational,AUGUSTA-AIKEN,18-09-2019,18-09-2019,27-09-2020,Original,20-07-2022
107,LA107,Franchise,06-06-2003,MONROE,Louisiana,Central,628.0,MONROE-EL DORADO,Active,2.0,Southeast,06-06-2003,Operational,MONROE-EL DORADO,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
109,LA109,Franchise,16-06-2003,SHREVEPORT,Louisiana,Central,612.0,SHREVEPORT,Active,2.0,Southeast,16-06-2003,Operational,SHREVEPORT,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
123,TX123,Franchise,17-09-2003,WICHITA FALLS,Texas,Central,627.0,WICHITA FALLS & LAWTON,Active,1.0,Southwest,17-09-2003,Operational,WICHITA FALLS & LAWTON,13-11-2019,13-11-2019,27-09-2020,Original,20-07-2022
127,TN127,Franchise,05-10-2003,CORDOVA,Tennessee,Central,640.0,MEMPHIS,Active,2.0,Southeast,05-10-2003,Operational,MEMPHIS,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
133,LA133,Franchise,27-10-2003,LAFAYETTE,Louisiana,Central,642.0,"LAFAYETTE, LA",Active,2.0,Southeast,27-10-2003,Operational,"LAFAYETTE, LA",11-12-2019,11-12-2019,27-09-2020,Original,27-10-2003
137,CA137,Franchise,26-11-2003,INGLEWOOD,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,26-11-2003,Operational,LOS ANGELES,14-11-2018,14-11-2018,06-09-2020,Original,20-07-2022
144,AR144,Franchise,27-12-2003,LITTLE ROCK,Arkansas,Central,693.0,LITTLE ROCK-PINE BLUFF,Active,2.0,Southeast,27-12-2003,Operational,LITTLE ROCK-PINE BLUFF,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
150,TX150,Franchise,17-01-2004,LAREDO,Texas,Central,749.0,LAREDO,Active,1.0,Southwest,17-01-2004,Operational,LAREDO,13-11-2019,13-11-2019,27-09-2020,Original,17-01-2004
153,TX153,Franchise,31-01-2004,HOUSTON,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,31-01-2004,Operational,HOUSTON,28-11-2018,03-01-2016,27-09-2020,Original,20-07-2022
155,OH155,Franchise,04-02-2004,MENTOR ON THE LAKE,Ohio,Eastern,510.0,CLEVELAND-AKRON (CANTON),Active,3.0,North,04-02-2004,Operational,CLEVELAND-AKRON (CANTON),28-08-2019,28-08-2019,27-09-2020,Original,20-07-2022
158,TX158,Franchise,17-02-2004,HOUSTON,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,17-02-2004,Operational,HOUSTON,28-11-2018,28-11-2018,27-09-2020,Original,17-02-2004
167,CO167,Franchise,02-04-2004,DENVER,Colorado,Mountain,751.0,DENVER,Active,4.0,West,02-04-2004,Operational,DENVER,12-09-2018,12-09-2018,27-09-2020,Original,20-07-2022
171,CO171,Franchise,28-04-2004,AURORA,Colorado,Mountain,751.0,DENVER,Active,4.0,West,28-04-2004,Operational,DENVER,12-09-2018,12-09-2018,27-09-2020,Original,20-07-2022
182,MS182,Franchise,25-08-2004,JACKSON,Mississippi,Central,718.0,"JACKSON, MS",Active,2.0,Southeast,25-08-2004,Operational,"JACKSON, MS",16-10-2019,16-10-2019,27-09-2020,Original,20-07-2022
202,TX202,Franchise,31-12-2004,HOUSTON,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,31-12-2004,Operational,HOUSTON,28-11-2018,28-11-2018,27-09-2020,Original,20-07-2022
205,FL205,Franchise,12-01-2005,LAUDERHILL,Florida,Eastern,528.0,MIAMI-FT. LAUDERDALE,Active,2.0,Southeast,12-01-2005,Operational,MIAMI-FT. LAUDERDALE,20-03-2019,20-03-2019,27-09-2020,Original,20-07-2022
207,TX207,Franchise,20-01-2005,SUGAR LAND,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,20-01-2005,Operational,HOUSTON,28-11-2018,01-11-2015,27-09-2020,Original,20-07-2022
219,AZ219,Franchise,03-03-2005,TUCSON,Arizona,Mountain (DST not observed),789.0,TUCSON (SIERRA VISTA),Active,1.0,Southwest,03-03-2005,Operational,TUCSON (SIERRA VISTA),27-02-2019,27-02-2019,27-09-2020,Original,20-07-2022
234,TX234,Franchise,27-05-2005,HOUSTON,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,05-07-2005,Operational,HOUSTON,28-11-2018,28-11-2018,27-09-2020,Original,06-07-2022
237,CA237,Franchise,16-07-2005,RANCHO SANTA MARGARITA,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,16-07-2005,Operational,LOS ANGELES,07-11-2018,02-08-2015,27-09-2020,Original,20-07-2022
